"Step","vague-thunder-1 - eval/success_rate","vague-thunder-1 - eval/success_rate__MIN","vague-thunder-1 - eval/success_rate__MAX"
"10000","0","0","0"
"20000","0","0","0"
"30000","0","0","0"
"40000","0","0","0"
"50000","0","0","0"
"60000","0","0","0"
"70000","0","0","0"
"80000","0","0","0"
"90000","0","0","0"
"100000","0","0","0"
"110000","0","0","0"
"120000","0","0","0"
"130000","0","0","0"
"140000","0","0","0"
"150000","0","0","0"
"160000","0","0","0"
"170000","0","0","0"
"180000","0","0","0"
"190000","0","0","0"
"200000","0","0","0"
"210000","0","0","0"
"220000","0","0","0"
"230000","0","0","0"
"240000","0","0","0"
"250000","0","0","0"
"260000","0","0","0"
"270000","0","0","0"
"280000","0","0","0"
"290000","0","0","0"
"300000","0","0","0"
"310000","0","0","0"
"320000","0","0","0"
"330000","0","0","0"
"340000","0","0","0"
"350000","0","0","0"
"360000","0","0","0"
"370000","0","0","0"
"380000","0","0","0"
"390000","0","0","0"
"400000","0","0","0"
"410000","0","0","0"
"420000","0","0","0"
"430000","0","0","0"
"440000","0","0","0"
"450000","0","0","0"
"460000","0","0","0"
"470000","0","0","0"
"480000","0","0","0"
"490000","0","0","0"
"500000","0","0","0"
"510000","0","0","0"
"520000","0.1","0.1","0.1"
"530000","0","0","0"
"540000","0.4","0.4","0.4"
"550000","0.1","0.1","0.1"
"560000","0","0","0"
"570000","0.2","0.2","0.2"
"580000","0.1","0.1","0.1"
"590000","0","0","0"
"600000","0.2","0.2","0.2"
"610000","0.4","0.4","0.4"
"620000","0.6","0.6","0.6"
"630000","0.5","0.5","0.5"
"640000","0.3","0.3","0.3"
"650000","0.3","0.3","0.3"
"660000","0.4","0.4","0.4"
"670000","0.5","0.5","0.5"
"680000","0.2","0.2","0.2"
"690000","0.3","0.3","0.3"
"700000","0.3","0.3","0.3"
"710000","0.2","0.2","0.2"
"720000","0","0","0"
"730000","0.4","0.4","0.4"
"740000","0.2","0.2","0.2"
"750000","0","0","0"
"760000","0","0","0"
"770000","0.1","0.1","0.1"
"780000","0.1","0.1","0.1"
"790000","0.2","0.2","0.2"
"800000","0.2","0.2","0.2"
"810000","0","0","0"
"820000","0","0","0"
"830000","0.1","0.1","0.1"
"840000","0.1","0.1","0.1"
"850000","0.1","0.1","0.1"
"860000","0.3","0.3","0.3"
"870000","0.1","0.1","0.1"
"880000","0.1","0.1","0.1"
"890000","0.3","0.3","0.3"
"900000","0.2","0.2","0.2"
"910000","0.1","0.1","0.1"
"920000","0.1","0.1","0.1"
"930000","0.2","0.2","0.2"
"940000","0","0","0"
"950000","0.1","0.1","0.1"
"960000","0.2","0.2","0.2"
"970000","0.1","0.1","0.1"
"980000","0","0","0"
"990000","0.3","0.3","0.3"
