"Step","driven-butterfly-2 - eval/success_rate","driven-butterfly-2 - eval/success_rate__MIN","driven-butterfly-2 - eval/success_rate__MAX"
"10000","0","0","0"
"20000","0","0","0"
"30000","0","0","0"
"40000","0","0","0"
"50000","0","0","0"
"60000","0","0","0"
"70000","0","0","0"
"80000","0","0","0"
"90000","0","0","0"
"100000","0","0","0"
"110000","0","0","0"
"120000","0","0","0"
"130000","0","0","0"
"140000","0","0","0"
"150000","0","0","0"
"160000","0","0","0"
"170000","0","0","0"
"180000","0","0","0"
"190000","0","0","0"
"200000","0","0","0"
"210000","0","0","0"
"220000","0","0","0"
"230000","0","0","0"
"240000","0","0","0"
"250000","0","0","0"
"260000","0","0","0"
"270000","0","0","0"
"280000","0","0","0"
"290000","0","0","0"
"300000","0","0","0"
"310000","0","0","0"
"320000","0.3","0.3","0.3"
"330000","0.2","0.2","0.2"
"340000","0.6","0.6","0.6"
"350000","0.2","0.2","0.2"
"360000","0.9","0.9","0.9"
"370000","0","0","0"
"380000","0.5","0.5","0.5"
"390000","0.4","0.4","0.4"
"400000","0.4","0.4","0.4"
"410000","0.4","0.4","0.4"
"420000","0.4","0.4","0.4"
"430000","0.8","0.8","0.8"
"440000","0.4","0.4","0.4"
"450000","0.8","0.8","0.8"
"460000","0.4","0.4","0.4"
"470000","0.9","0.9","0.9"
"480000","0.8","0.8","0.8"
"490000","0.3","0.3","0.3"
"500000","0.6","0.6","0.6"
"510000","0.7","0.7","0.7"
"520000","0.5","0.5","0.5"
"530000","0.6","0.6","0.6"
"540000","0.9","0.9","0.9"
"550000","1","1","1"
"560000","1","1","1"
"570000","0.8","0.8","0.8"
"580000","1","1","1"
"590000","1","1","1"
"600000","0.9","0.9","0.9"
"610000","1","1","1"
"620000","0.9","0.9","0.9"
"630000","1","1","1"
"640000","0.9","0.9","0.9"
"650000","1","1","1"
"660000","1","1","1"
"670000","1","1","1"
"680000","0.8","0.8","0.8"
"690000","1","1","1"
"700000","1","1","1"
"710000","1","1","1"
"720000","0.8","0.8","0.8"
"730000","1","1","1"
"740000","0.8","0.8","0.8"
"750000","1","1","1"
"760000","0.9","0.9","0.9"
"770000","1","1","1"
"780000","1","1","1"
"790000","0.9","0.9","0.9"
"800000","0.7","0.7","0.7"
"810000","0.9","0.9","0.9"
"820000","0.9","0.9","0.9"
"830000","1","1","1"
"840000","1","1","1"
"850000","1","1","1"
"860000","1","1","1"
"870000","1","1","1"
"880000","1","1","1"
"890000","0.6","0.6","0.6"
"900000","0.7","0.7","0.7"
"910000","0.9","0.9","0.9"
"920000","1","1","1"
"930000","1","1","1"
"940000","1","1","1"
"950000","1","1","1"
"960000","1","1","1"
"970000","1","1","1"
"980000","1","1","1"
"990000","0.1","0.1","0.1"
"1000000","0.8","0.8","0.8"
