"Step","distinctive-deluge-42 - rollout/success_rate","distinctive-deluge-42 - rollout/success_rate__MIN","distinctive-deluge-42 - rollout/success_rate__MAX"
"1000","0","0","0"
"2000","0","0","0"
"3000","0","0","0"
"4000","0","0","0"
"5000","0","0","0"
"6000","0","0","0"
"7000","0","0","0"
"8000","0","0","0"
"9000","0","0","0"
"10000","0","0","0"
"11000","0","0","0"
"12000","0","0","0"
"13000","0","0","0"
"14000","0","0","0"
"15000","0","0","0"
"16000","0","0","0"
"17000","0.2","0.2","0.2"
"18000","0","0","0"
"19000","0","0","0"
"20000","0","0","0"
"21000","0","0","0"
"22000","0","0","0"
"23000","0","0","0"
"24000","0","0","0"
"25000","0","0","0"
"26000","0","0","0"
"27000","0","0","0"
"28000","0","0","0"
"29000","0","0","0"
"30000","0","0","0"
"31000","0","0","0"
"32000","0","0","0"
"33000","0","0","0"
"34000","0","0","0"
"35000","0","0","0"
"36000","0","0","0"
"37000","0","0","0"
"38000","0","0","0"
"39000","0","0","0"
"40000","0","0","0"
"41000","0","0","0"
"42000","0","0","0"
"43000","0","0","0"
"44000","0","0","0"
"45000","0","0","0"
"46000","0","0","0"
"47000","0","0","0"
"48000","0","0","0"
"49000","0.2","0.2","0.2"
"50000","0","0","0"
"51000","0","0","0"
"52000","0","0","0"
"53000","0","0","0"
"54000","0","0","0"
"55000","0","0","0"
"56000","0","0","0"
"57000","0","0","0"
"58000","0","0","0"
"59000","0","0","0"
"60000","0","0","0"
"61000","0","0","0"
"62000","0","0","0"
"63000","0","0","0"
"64000","0","0","0"
"65000","0","0","0"
"66000","0","0","0"
"67000","0","0","0"
"68000","0","0","0"
"69000","0","0","0"
"70000","0","0","0"
"71000","0","0","0"
"72000","0","0","0"
"73000","0","0","0"
"74000","0","0","0"
"75000","0","0","0"
"76000","0","0","0"
"77000","0","0","0"
"78000","0","0","0"
"79000","0","0","0"
"80000","0","0","0"
"81000","0","0","0"
"82000","0","0","0"
"83000","0","0","0"
"84000","0","0","0"
"85000","0.25","0.25","0.25"
"86000","0","0","0"
"87000","0","0","0"
"88000","0","0","0"
"89000","0","0","0"
"90000","0.2","0.2","0.2"
"91000","0","0","0"
"92000","0","0","0"
"93000","0","0","0"
"94000","0","0","0"
"95000","0","0","0"
"96000","0","0","0"
"97000","0","0","0"
"98000","0","0","0"
"99000","0","0","0"
"100000","0","0","0"
"101000","0","0","0"
"102000","0","0","0"
"103000","0","0","0"
"104000","0","0","0"
"105000","0","0","0"
"106000","0","0","0"
"107000","0","0","0"
"108000","0","0","0"
"109000","0","0","0"
"110000","0","0","0"
"111000","0","0","0"
"112000","0.25","0.25","0.25"
"113000","0","0","0"
"114000","0","0","0"
"115000","0","0","0"
"116000","0","0","0"
"117000","0","0","0"
"118000","0","0","0"
"119000","0.25","0.25","0.25"
"120000","0","0","0"
"121000","0","0","0"
"122000","0","0","0"
"123000","0","0","0"
"124000","0","0","0"
"125000","0","0","0"
"126000","0","0","0"
"127000","0","0","0"
"128000","0","0","0"
"129000","0","0","0"
"130000","0","0","0"
"131000","0","0","0"
"132000","0","0","0"
"133000","0","0","0"
"134000","0","0","0"
"135000","0","0","0"
"136000","0","0","0"
"137000","0","0","0"
"138000","0","0","0"
"139000","0","0","0"
"140000","0","0","0"
"141000","0","0","0"
"142000","0.25","0.25","0.25"
"143000","0","0","0"
"144000","0","0","0"
"145000","0","0","0"
"146000","0","0","0"
"147000","0","0","0"
"148000","0","0","0"
"149000","0","0","0"
"150000","0","0","0"
"151000","0","0","0"
"152000","0.2","0.2","0.2"
"153000","0","0","0"
"154000","0","0","0"
"155000","0","0","0"
"156000","0","0","0"
"157000","0","0","0"
"158000","0","0","0"
"159000","0","0","0"
"160000","0","0","0"
"161000","0","0","0"
"162000","0","0","0"
"163000","0","0","0"
"164000","0","0","0"
"165000","0","0","0"
"166000","0","0","0"
"167000","0","0","0"
"168000","0","0","0"
"169000","0","0","0"
"170000","0","0","0"
"171000","0","0","0"
"172000","0","0","0"
"173000","0","0","0"
"174000","0","0","0"
"175000","0","0","0"
"176000","0","0","0"
"177000","0","0","0"
"178000","0","0","0"
"179000","0","0","0"
"180000","0.25","0.25","0.25"
"181000","0","0","0"
"182000","0","0","0"
"183000","0","0","0"
"184000","0","0","0"
"185000","0","0","0"
"186000","0","0","0"
"187000","0","0","0"
"188000","0","0","0"
"189000","0","0","0"
"190000","0","0","0"
"191000","0","0","0"
"192000","0","0","0"
"193000","0","0","0"
"194000","0.25","0.25","0.25"
"195000","0","0","0"
"196000","0","0","0"
"197000","0","0","0"
"198000","0","0","0"
"199000","0","0","0"
"200000","0","0","0"
"201000","0.4","0.4","0.4"
"202000","0","0","0"
"203000","0","0","0"
"204000","0","0","0"
"205000","0","0","0"
"206000","0","0","0"
"207000","0","0","0"
"208000","0","0","0"
"209000","0","0","0"
"210000","0","0","0"
"211000","0","0","0"
"212000","0","0","0"
