"Step","treasured-dust-37 - rollout/ep_reward_mean","treasured-dust-37 - rollout/ep_reward_mean__MIN","treasured-dust-37 - rollout/ep_reward_mean__MAX"
"2000","-90.74810099999999","-90.74810099999999","-90.74810099999999"
"4000","-79.581012125","-79.581012125","-79.581012125"
"6000","-92.3977945","-92.3977945","-92.3977945"
"8000","-87.23821337499999","-87.23821337499999","-87.23821337499999"
"10000","-85.97555087500001","-85.97555087500001","-85.97555087500001"
"12000","-90.066928125","-90.066928125","-90.066928125"
"14000","-76.81286575","-76.81286575","-76.81286575"
"16000","-82.430483375","-82.430483375","-82.430483375"
"18000","-74.284744125","-74.284744125","-74.284744125"
"20000","-81.96433975000001","-81.96433975000001","-81.96433975000001"
"22000","-72.94742525","-72.94742525","-72.94742525"
"24000","-85.41340737499999","-85.41340737499999","-85.41340737499999"
"26000","-83.5116935","-83.5116935","-83.5116935"
"28000","-75.117703625","-75.117703625","-75.117703625"
"30000","-82.91956487499999","-82.91956487499999","-82.91956487499999"
"32000","-93.836764875","-93.836764875","-93.836764875"
"34000","-89.42788912500001","-89.42788912500001","-89.42788912500001"
"36000","-95.14385362499999","-95.14385362499999","-95.14385362499999"
"38000","-92.569509125","-92.569509125","-92.569509125"
"40000","-98.28726325","-98.28726325","-98.28726325"
"42000","-87.607186875","-87.607186875","-87.607186875"
"44000","-82.0376805","-82.0376805","-82.0376805"
"46000","-95.56986312500001","-95.56986312500001","-95.56986312500001"
"48000","-81.66016699999999","-81.66016699999999","-81.66016699999999"
"50000","-78.6402965","-78.6402965","-78.6402965"
"52000","-91.274667375","-91.274667375","-91.274667375"
"54000","-77.316288125","-77.316288125","-77.316288125"
"56000","-85.60398062499999","-85.60398062499999","-85.60398062499999"
"58000","-77.64832712500001","-77.64832712500001","-77.64832712500001"
"60000","-94.058687625","-94.058687625","-94.058687625"
"62000","-85.369372625","-85.369372625","-85.369372625"
"64000","-85.76893662500001","-85.76893662500001","-85.76893662500001"
"66000","-88.736948125","-88.736948125","-88.736948125"
"68000","-84.7759585","-84.7759585","-84.7759585"
"70000","-80.050218625","-80.050218625","-80.050218625"
"72000","-80.74232500000001","-80.74232500000001","-80.74232500000001"
"74000","-79.44912637499999","-79.44912637499999","-79.44912637499999"
"76000","-89.828179625","-89.828179625","-89.828179625"
"78000","-100.397079125","-100.397079125","-100.397079125"
"80000","-76.072473875","-76.072473875","-76.072473875"
"82000","-82.28267625000001","-82.28267625000001","-82.28267625000001"
"84000","-94.211363","-94.211363","-94.211363"
"86000","-81.4125315","-81.4125315","-81.4125315"
"88000","-102.445048","-102.445048","-102.445048"
"90000","-104.98263825000001","-104.98263825000001","-104.98263825000001"
"92000","-78.47960137499999","-78.47960137499999","-78.47960137499999"
"94000","-75.35919562500001","-75.35919562500001","-75.35919562500001"
"96000","-82.57834525","-82.57834525","-82.57834525"
"98000","-93.22694225000001","-93.22694225000001","-93.22694225000001"
"100000","-76.881899875","-76.881899875","-76.881899875"
"102000","-86.815057625","-86.815057625","-86.815057625"
"104000","-93.85813387500001","-93.85813387500001","-93.85813387500001"
"106000","-83.85540875000001","-83.85540875000001","-83.85540875000001"
"108000","-71.386994","-71.386994","-71.386994"
"110000","-69.69597949999999","-69.69597949999999","-69.69597949999999"
"112000","-91.768912875","-91.768912875","-91.768912875"
"114000","-97.565082875","-97.565082875","-97.565082875"
"116000","-92.898687375","-92.898687375","-92.898687375"
"118000","-81.357161875","-81.357161875","-81.357161875"
"120000","-80.12675949999999","-80.12675949999999","-80.12675949999999"
"122000","-78.425347125","-78.425347125","-78.425347125"
"124000","-86.397566375","-86.397566375","-86.397566375"
"126000","-88.72588787500001","-88.72588787500001","-88.72588787500001"
"128000","-73.289092375","-73.289092375","-73.289092375"
"130000","-83.61713962500001","-83.61713962500001","-83.61713962500001"
"132000","-84.129453375","-84.129453375","-84.129453375"
"134000","-77.662435625","-77.662435625","-77.662435625"
"136000","-92.58684300000002","-92.58684300000002","-92.58684300000002"
"138000","-77.48044512499999","-77.48044512499999","-77.48044512499999"
"140000","-67.89307712499999","-67.89307712499999","-67.89307712499999"
"142000","-89.5195935","-89.5195935","-89.5195935"
"144000","-95.795652875","-95.795652875","-95.795652875"
"146000","-88.294394625","-88.294394625","-88.294394625"
"148000","-87.285001875","-87.285001875","-87.285001875"
"150000","-86.156940375","-86.156940375","-86.156940375"
"152000","-84.406703375","-84.406703375","-84.406703375"
"154000","-77.584605125","-77.584605125","-77.584605125"
"156000","-75.61703474999999","-75.61703474999999","-75.61703474999999"
"158000","-81.743981625","-81.743981625","-81.743981625"
"160000","-84.75730625","-84.75730625","-84.75730625"
"162000","-73.922552","-73.922552","-73.922552"
"164000","-93.127852625","-93.127852625","-93.127852625"
"166000","-90.966308","-90.966308","-90.966308"
"168000","-85.934483375","-85.934483375","-85.934483375"
"170000","-74.87029337499999","-74.87029337499999","-74.87029337499999"
"172000","-76.33081562500001","-76.33081562500001","-76.33081562500001"
"174000","-100.955318","-100.955318","-100.955318"
"176000","-71.67614225","-71.67614225","-71.67614225"
"178000","-78.19126600000001","-78.19126600000001","-78.19126600000001"
"180000","-65.315144","-65.315144","-65.315144"
"182000","-74.115912125","-74.115912125","-74.115912125"
"184000","-67.97169737499999","-67.97169737499999","-67.97169737499999"
"186000","-71.69177825","-71.69177825","-71.69177825"
"188000","-82.08436025","-82.08436025","-82.08436025"
"190000","-79.12175587499999","-79.12175587499999","-79.12175587499999"
"192000","-93.068177125","-93.068177125","-93.068177125"
"194000","-74.465451125","-74.465451125","-74.465451125"
"196000","-72.052479","-72.052479","-72.052479"
"198000","-85.95887549999999","-85.95887549999999","-85.95887549999999"
"200000","-80.34390525","-80.34390525","-80.34390525"
"202000","-91.158665875","-91.158665875","-91.158665875"
"204000","-83.760825125","-83.760825125","-83.760825125"
"206000","-90.24657025","-90.24657025","-90.24657025"
"208000","-85.48141150000001","-85.48141150000001","-85.48141150000001"
"210000","-85.15048887500001","-85.15048887500001","-85.15048887500001"
"212000","-99.84826475","-99.84826475","-99.84826475"
"214000","-89.8321055","-89.8321055","-89.8321055"
"216000","-96.958805625","-96.958805625","-96.958805625"
"218000","-85.833375375","-85.833375375","-85.833375375"
"220000","-86.67031937499999","-86.67031937499999","-86.67031937499999"
"222000","-92.64280099999999","-92.64280099999999","-92.64280099999999"
"224000","-92.156448625","-92.156448625","-92.156448625"
"226000","-88.774139625","-88.774139625","-88.774139625"
"228000","-88.490965","-88.490965","-88.490965"
"230000","-76.2511761111111","-76.2511761111111","-76.2511761111111"
"232000","-73.4077475","-73.4077475","-73.4077475"
"234000","-79.78692975","-79.78692975","-79.78692975"
"236000","-79.40467925","-79.40467925","-79.40467925"
"238000","-74.41852112500001","-74.41852112500001","-74.41852112500001"
"240000","-84.06697675000001","-84.06697675000001","-84.06697675000001"
"242000","-84.730218875","-84.730218875","-84.730218875"
"244000","-80.5390905","-80.5390905","-80.5390905"
"246000","-79.405867125","-79.405867125","-79.405867125"
"248000","-81.99924812500001","-81.99924812500001","-81.99924812500001"
"250000","-78.902810875","-78.902810875","-78.902810875"
"252000","-83.666727125","-83.666727125","-83.666727125"
"254000","-80.44634300000001","-80.44634300000001","-80.44634300000001"
"256000","-69.34362475","-69.34362475","-69.34362475"
"258000","-85.86783475","-85.86783475","-85.86783475"
"260000","-72.18676475000001","-72.18676475000001","-72.18676475000001"
"262000","-84.4014105","-84.4014105","-84.4014105"
"264000","-86.13971125","-86.13971125","-86.13971125"
"266000","-77.260501","-77.260501","-77.260501"
"268000","-74.19786925","-74.19786925","-74.19786925"
"270000","-82.617653125","-82.617653125","-82.617653125"
"272000","-87.32337125000001","-87.32337125000001","-87.32337125000001"
"274000","-81.52451425","-81.52451425","-81.52451425"
"276000","-79.165432875","-79.165432875","-79.165432875"
"278000","-77.227846","-77.227846","-77.227846"
"280000","-86.52241649999999","-86.52241649999999","-86.52241649999999"
"282000","-87.496722","-87.496722","-87.496722"
"284000","-87.061775875","-87.061775875","-87.061775875"
"286000","-86.414447","-86.414447","-86.414447"
"288000","-74.048191625","-74.048191625","-74.048191625"
"290000","-69.61095362500001","-69.61095362500001","-69.61095362500001"
"292000","-83.45333274999999","-83.45333274999999","-83.45333274999999"
"294000","-80.362152375","-80.362152375","-80.362152375"
"296000","-80.79428837500001","-80.79428837500001","-80.79428837500001"
"298000","-96.008334875","-96.008334875","-96.008334875"
"300000","-64.894526875","-64.894526875","-64.894526875"
"302000","-77.940700875","-77.940700875","-77.940700875"
"304000","-88.38607075","-88.38607075","-88.38607075"
"306000","-66.63712162499999","-66.63712162499999","-66.63712162499999"
"308000","-74.17570525","-74.17570525","-74.17570525"
"310000","-104.260866","-104.260866","-104.260866"
"312000","-85.37801825","-85.37801825","-85.37801825"
"314000","-85.637845875","-85.637845875","-85.637845875"
"316000","-78.2693865","-78.2693865","-78.2693865"
"318000","-87.32973787499999","-87.32973787499999","-87.32973787499999"
