"Step","copper-bush-14 - eval/success_rate","copper-bush-14 - eval/success_rate__MIN","copper-bush-14 - eval/success_rate__MAX"
"820000","0","0","0"
"830000","0","0","0"
"840000","0","0","0"
"850000","0","0","0"
"860000","0","0","0"
"870000","0","0","0"
"880000","0","0","0"
"890000","0","0","0"
"900000","0","0","0"
"910000","0","0","0"
"920000","0","0","0"
"930000","0.2","0.2","0.2"
"940000","0","0","0"
"950000","0","0","0"
"960000","0","0","0"
"970000","0","0","0"
"980000","0","0","0"
"990000","0","0","0"
"1000000","0","0","0"
"1010000","0","0","0"
"1020000","0","0","0"
"1030000","0","0","0"
"1040000","0.1","0.1","0.1"
"1050000","0","0","0"
"1060000","0","0","0"
"1070000","0","0","0"
"1080000","0","0","0"
"1090000","0","0","0"
"1100000","0","0","0"
"1110000","0","0","0"
"1120000","0","0","0"
"1130000","0","0","0"
"1140000","0","0","0"
"1150000","0","0","0"
"1160000","0","0","0"
"1170000","0","0","0"
"1180000","0","0","0"
"1190000","0","0","0"
"1200000","0","0","0"
"1210000","0","0","0"
"1220000","0","0","0"
